관리번호,위도,경도,정보,geometry,index_right
용마초등학교1-08,37.5559553,127.0829541,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0829541 37.5559553),115208.0
워커힐로1-1,37.5428053,127.0945432,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0945432 37.5428053),116124.0
워커힐로1-10,37.5436764,127.096893,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.096893 37.5436764),116124.0
워커힐로1-11,37.5439003,127.0971466,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0971466 37.5439003),116124.0
워커힐로1-12,37.5441625,127.0973631,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0973631 37.5441625),116124.0
워커힐로1-13,37.5445426,127.0975002,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0975002 37.5445426),116124.0
워커힐로1-14,37.5448324,127.097583,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.097583 37.5448324),116124.0
워커힐로1-15,37.5450942,127.0976778,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0976778 37.5450942),116124.0
워커힐로1-16,37.545374,127.0977923,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0977923 37.545374),116125.0
워커힐로1-17,37.5457258,127.097881,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.097881 37.5457258),116125.0
워커힐로1-18,37.5460799,127.0979895,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0979895 37.5460799),116125.0
워커힐로1-19,37.5463597,127.0980772,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0980772 37.5463597),116125.0
워커힐로1-2,37.5429479,127.0947208,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0947208 37.5429479),116124.0
워커힐로1-3,37.5430658,127.0949323,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0949323 37.5430658),116124.0
워커힐로1-4,37.543177,127.0951553,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0951553 37.543177),116124.0
워커힐로1-5,37.5432906,127.0954434,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0954434 37.5432906),116124.0
워커힐로1-6,37.5433321,127.0957233,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0957233 37.5433321),116124.0
워커힐로1-7,37.543369,127.0959891,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0959891 37.543369),116124.0
워커힐로1-8,37.5434084,127.0962946,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0962946 37.5434084),116124.0
